Time,X,Y
0.25,285,260
0.36,286,270
0.48,287,283
0.59,288,285
0.7,289,285
0.83,289,285
0.94,287,285
1.05,285,292
1.16,283,299
1.29,281,303
1.4,280,305
1.52,280,305
1.63,280,304
1.74,279,304
1.86,275,306
1.98,261,308
2.1,250,308
2.22,234,306
2.33,221,305
2.44,212,306
2.56,201,305
2.68,189,305
2.8,182,305
2.91,177,306
3.03,171,306
3.16,166,306
3.28,162,306
3.39,160,306
3.5,159,306
3.62,159,307
3.73,159,307
3.85,160,305
3.97,158,306
4.09,150,306
4.2,153,308
4.32,159,311
4.44,168,312
4.56,172,313
4.67,180,314
4.79,190,313
4.89,201,312
5.01,218,311
5.13,227,311
5.24,236,312
5.35,248,313
5.45,256,313
5.57,262,313
5.69,265,313
5.81,268,313
5.93,265,313
6.04,264,313
6.16,265,313
6.27,268,313
6.39,272,314
6.5,276,315
6.62,278,316
6.73,278,316
6.85,281,318
6.97,281,319
7.09,278,316
7.2,277,316
7.32,276,317
7.44,275,316
7.55,276,318
7.67,276,318
7.78,278,318
7.89,279,319
8,280,318
8.11,284,320
8.23,284,318
8.35,284,318
8.48,284,318
8.59,284,317
8.72,284,318
8.84,285,318
8.95,286,319
9.07,286,319
9.19,286,319
9.31,286,319
9.42,286,319
9.54,286,319
9.65,284,318
9.78,284,314
9.89,285,314
10,288,312
10.12,288,312
10.24,288,312
10.35,287,312
10.48,286,313
10.59,286,314
10.7,286,315
10.83,287,316
10.95,287,316
11.06,286,317
11.18,286,317
11.3,286,317
11.41,286,317
11.54,286,318
11.66,286,319
11.77,286,321
11.89,286,322
12.01,285,323
12.12,284,321
12.24,282,321
12.36,282,321
12.48,283,320
12.6,284,321
12.71,285,326
12.83,285,329
12.95,285,330
13.06,286,329
13.17,287,329
13.3,288,329
13.41,287,328
13.52,288,327
13.64,287,326
13.76,286,325
13.87,286,324
13.99,286,324
14.11,286,323
14.22,284,322
14.33,283,320
14.45,281,317
14.56,282,315
14.67,286,313
14.79,288,312
14.92,290,311
15.03,290,311
15.14,290,311
15.26,293,310
15.38,298,308
15.51,308,307
15.62,318,306
15.73,326,307
15.84,333,307
15.95,340,308
16.07,348,309
16.18,354,309
16.28,362,309
16.4,375,309
16.52,388,310
16.63,397,310
16.75,408,310
16.87,414,310
16.99,417,309
17.11,413,310
17.23,412,309
17.34,414,309
17.46,415,309
17.58,415,309
17.7,415,309
17.81,414,308
17.93,415,309
18.05,415,309
18.17,415,309
18.29,415,309
18.4,415,309
18.52,416,309
18.63,417,309
18.75,417,309
18.87,416,309
18.99,417,309
19.1,416,309
19.22,416,309
19.33,416,309
19.45,416,309
19.57,416,309
19.69,416,309
19.8,417,309
19.92,417,309
20.03,417,309
20.15,417,309
20.27,418,309
20.39,421,309
20.51,423,308
20.63,424,308
20.73,426,307
20.85,427,307
20.96,426,308
21.08,425,309
21.19,421,310
21.31,419,310
21.43,410,306
21.55,392,305
21.67,377,304
21.78,362,305
21.9,347,305
22.02,339,305
22.14,330,305
22.25,324,305
22.37,324,305
22.48,321,305
22.6,318,305
22.72,314,305
22.83,309,306
22.95,303,306
23.06,299,307
23.18,296,307
23.3,293,307
23.42,295,306
23.53,293,305
23.65,288,305
23.76,287,304
23.88,287,304
24,287,304
24.11,287,304
24.23,287,304
24.34,287,303
24.46,287,303
24.57,287,303
24.69,287,303
24.81,288,303
24.93,288,302
25.04,288,302
25.15,288,302
25.27,288,302
25.38,288,303
25.51,288,302
25.62,287,302
25.73,287,301
25.84,287,298
25.95,286,296
26.06,286,294
26.17,286,291
26.3,287,294
26.41,289,296
26.52,289,296
26.64,290,295
26.75,290,296
26.87,290,297
26.98,290,298
27.1,290,297
27.21,290,298
27.33,290,297
27.45,290,298
27.57,290,299
27.69,290,298
27.8,290,296
27.91,291,292
28.03,291,293
28.15,291,293
28.26,291,293
28.38,291,293
28.5,290,292
28.61,289,289
28.72,289,288
28.84,289,285
28.96,290,286
29.08,290,290
29.2,291,294
29.32,291,295
29.44,290,294
29.55,290,295
29.68,289,296
29.79,289,296
29.9,290,297
30.02,291,300
30.14,288,303
30.26,284,304
30.37,280,304
30.49,277,305
30.62,277,306
